Movie,Genre,Year,Rating,Watched_On,Duration,Director,Lead_Actor,Language,Rewatch
Movie 1,Romance,2002.0,9.5,Netflix,180.0,Director 85,Actor 25,Korean,Yes
Movie 2,Documentary,2015.0,4.0,YouTube,164.0,Director 18,Actor 101,French,Yes
Movie 3,Documentary,1987.0,5.0,Amazon Prime,95.0,Director 192,Actor 113,Korean,No
Movie 4,Documentary,2018.0,6.4,TV,111.0,Director 42,Actor 160,,No
Movie 5,Romance,2024.0,3.9,Netflix,172.0,Director 62,Actor 40,Korean,No
Movie 6,Horror,1987.0,4.8,Hulu,104.0,Director 178,Actor 93,Korean,Yes
Movie 7,Drama,1992.0,,Disney+,90.0,Director 152,Actor 75,,No
Movie 8,Action,1988.0,9.4,Amazon Prime,,Director 103,Actor 81,French,Yes
Movie 9,,2004.0,7.8,Disney+,87.0,Director 125,Actor 299,Korean,No
Movie 10,Horror,2008.0,1.8,Blu-ray,84.0,Director 150,Actor 176,English,No
Movie 11,Comedy,,8.5,,,Director 170,Actor 195,Korean,No
Movie 12,Thriller,2017.0,8.7,Disney+,156.0,Director 45,Actor 98,English,Yes
Movie 13,Romance,1981.0,9.1,Hulu,128.0,Director 123,Actor 191,Hindi,Yes
Movie 14,,1992.0,,Hulu,114.0,,Actor 261,Spanish,No
,Thriller,2023.0,4.6,YouTube,,Director 138,,French,Yes
Movie 16,Drama,1980.0,6.1,Blu-ray,177.0,Director 95,Actor 139,English,No
Movie 17,Sci-Fi,2005.0,5.8,Amazon Prime,118.0,Director 99,Actor 137,English,Yes
Movie 18,Comedy,,8.3,Netflix,171.0,Director 36,Actor 152,Hindi,No
Movie 19,Comedy,1989.0,3.2,TV,142.0,Director 192,Actor 186,Korean,
,Action,,6.6,Blu-ray,159.0,Director 170,Actor 149,English,Yes
Movie 21,Sci-Fi,1998.0,9.2,TV,,,Actor 226,Spanish,
Movie 22,Comedy,2020.0,1.8,Blu-ray,115.0,Director 111,Actor 211,English,
Movie 23,Documentary,2004.0,9.7,Disney+,95.0,Director 64,Actor 129,French,No
Movie 24,Drama,1987.0,9.9,Amazon Prime,115.0,Director 9,Actor 275,Spanish,Yes
Movie 25,Drama,1981.0,,Netflix,,Director 9,Actor 295,Hindi,
Movie 26,Horror,1996.0,1.2,YouTube,118.0,Director 44,Actor 198,French,No
Movie 27,Action,1994.0,4.4,Disney+,137.0,Director 9,Actor 243,,No
Movie 28,Documentary,1998.0,1.4,TV,154.0,Director 23,Actor 82,Spanish,
Movie 29,Romance,,2.2,,117.0,Director 114,Actor 29,,No
Movie 30,Romance,1996.0,6.8,,91.0,Director 189,,Hindi,No
Movie 31,Action,2020.0,4.3,YouTube,171.0,Director 75,,English,Yes
Movie 32,Action,,6.7,Blu-ray,138.0,Director 66,Actor 217,Korean,Yes
Movie 33,Thriller,2020.0,4.4,,131.0,Director 113,,Korean,No
Movie 34,Comedy,2000.0,4.4,Amazon Prime,,Director 92,Actor 91,French,Yes
Movie 35,Documentary,2011.0,7.1,Blu-ray,142.0,Director 14,Actor 167,French,
Movie 36,Documentary,1980.0,8.3,Netflix,174.0,Director 83,,Korean,
Movie 37,Drama,2016.0,1.2,Amazon Prime,123.0,Director 42,Actor 235,Korean,No
Movie 38,Action,1985.0,9.1,Hulu,171.0,,Actor 245,Hindi,No
,Comedy,2020.0,9.0,Hulu,138.0,Director 76,Actor 39,English,No
Movie 40,Thriller,1993.0,2.6,Hulu,179.0,Director 3,Actor 143,Korean,
Movie 41,Thriller,1981.0,6.2,Netflix,148.0,,Actor 147,Korean,Yes
Movie 42,Horror,2001.0,4.0,Blu-ray,107.0,Director 159,Actor 127,French,Yes
Movie 43,,2005.0,9.3,TV,,Director 13,Actor 271,,Yes
Movie 44,Sci-Fi,1996.0,4.6,Blu-ray,98.0,Director 120,Actor 274,French,No
,Horror,1980.0,3.4,Blu-ray,143.0,,,Spanish,Yes
Movie 46,,2012.0,4.8,Hulu,169.0,Director 178,Actor 49,English,No
