Date,Sleep_Duration,Mood_Score,Caffeine_Intake_mg,Exercise_Minutes,Screen_Time_Hours,Stress_Level,Water_Intake_Liters,Alcohol_Consumed,Journaled
2023-01-01,7.745071229516849,7.0,231.0,86.0,4.796273211268685,8.0,2.9727863832517287,Yes,Yes
2023-01-02,6.792603548243223,1.0,212.0,88.0,6.448820942867059,,2.4071497990186126,No,No
2023-01-03,7.971532807151039,8.0,78.0,119.0,5.020343803445441,1.0,1.236840774499072,Yes,Yes
2023-01-04,9.284544784612038,3.0,213.0,71.0,5.795610903500942,4.0,2.2413978173775106,,No
2023-01-05,6.648769937914996,6.0,,44.0,5.583522885067094,9.0,,No,No
2023-01-06,6.648794564576229,9.0,91.0,85.0,4.150029253246701,1.0,2.6082877245417264,Yes,No
2023-01-07,9.368819223261088,6.0,269.0,58.0,,2.0,3.363250292757128,No,Yes
2023-01-08,8.151152093729364,9.0,380.0,3.0,6.431904835367802,9.0,,Yes,No
2023-01-09,6.295788421097572,7.0,167.0,103.0,7.055389187002957,,2.5452347218263727,No,Yes
2023-01-10,7.8138400653789475,9.0,57.0,66.0,5.640454370998692,3.0,1.332990563975851,No,Yes
2023-01-11,6.304873460781307,2.0,283.0,28.0,,,2.543873235113385,,Yes
2023-01-12,6.301405369644614,8.0,,104.0,8.418772133115404,3.0,2.5628993140393677,No,Yes
,7.362943407349051,8.0,368.0,28.0,4.474887532865148,9.0,2.975190709368339,Yes,
2023-01-14,4.130079633013303,2.0,65.0,97.0,5.728134057136829,6.0,2.4865631147194187,Yes,No
2023-01-15,4.412623251230451,4.0,247.0,97.0,6.270762717644538,3.0,2.546562791772476,No,No
2023-01-16,6.1565687061385415,7.0,253.0,27.0,5.714843432435238,9.0,2.057557469479059,Yes,
2023-01-17,5.480753319498364,4.0,386.0,76.0,6.830834042460548,1.0,2.2816686118237848,Yes,No
2023-01-18,7.471370998892911,,43.0,78.0,7.146755844632997,10.0,2.8592626987706278,Yes,Yes
2023-01-19,5.637963886718183,6.0,96.0,86.0,,,1.0940613986995498,No,Yes
,4.881544447997063,10.0,41.0,43.0,8.250934683911295,,2.2778980040353227,,Yes
2023-01-21,9.19847315338233,6.0,226.0,89.0,4.46619289167747,2.0,2.981529977597137,Yes,
2023-01-22,6.661335549270197,10.0,261.0,3.0,5.673498097761577,8.0,3.6485102587038734,,No
2023-01-23,7.101292307031886,3.0,166.0,89.0,4.224643632791537,7.0,2.2211644891088342,Yes,Yes
2023-01-24,4.862877720679815,9.0,278.0,103.0,3.6530529546984196,2.0,3.329758846576651,No,No
2023-01-25,6.183425913212226,10.0,88.0,8.0,7.08838217758173,2.0,3.6830166917925604,No,No
2023-01-26,7.166383884564799,2.0,,118.0,11.243793794852088,9.0,2.2302323192561255,No,
2023-01-27,5.273509633866546,6.0,177.0,4.0,4.276480223359366,6.0,2.1092540270177262,Yes,
2023-01-28,7.563547027518508,,196.0,55.0,7.4306431493561576,,2.3725478709356516,Yes,No
2023-01-29,6.099041965121793,9.0,306.0,,,10.0,2.4426337504558333,No,Yes
,6.562459375310085,3.0,266.0,83.0,4.979030046287991,6.0,3.2635758674988637,No,Yes
